coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
OP/USDT,-3.25624127332004e-05,0.000389217833096644,0.00045991637495088847,0.0004466008088835304,9.856615173919169e-05,0.0005152695330352298,0.00038638737608373303,0.0003101907906164201,0.00023460365808247936,0.0007431946719913566,0.2317960283101483,3.737e-05,14485481.8022,18768907.06979001
JTO/USDT,0.0003344935709794516,0.001101743619727748,0.0006005236049164558,0.0006183581465627846,0.0008466911663301361,0.0015994898628392945,0.00022867582848987473,0.00028072711493750297,0.0007173523012757477,0.001492375389197197,0.20618297500604887,1.25e-05,7246164.492000001,4961217.9624
INJ/USDT,0.00035127723794790996,0.0008818881495174804,0.00042273815206739414,0.00042835771508685435,0.0006430073788152784,0.0011862193937895726,0.00015861624832887712,0.00017079707401437147,0.000636261675667831,0.0011670680173570965,-0.008088077795560103,1.25e-05,3468482.4775999994,9853541.0875
WIF/USDT,0.00010479561759404432,0.0007576717396540651,0.0006145974056389076,0.0005676273127274803,-0.0003633506765041064,0.00038607062155329513,0.00038172018977514503,0.0003817479210572048,0.00021564557687743293,0.0009708699456481545,-0.02022803788215608,3.004e-05,25481958.7458,38895021.417
STRK/USDT,0.0003727819209126944,0.0009282612280169153,0.00043028367063850225,0.00039918228763674335,0.0005203034500792511,0.000980400300155431,0.0003254527530670352,0.0003205888600292123,1.51447579717966e-08,0.0005139502534389506,-0.06211122582280136,1.25e-05,2227601.3889599997,4514685.576471
LTC/USDT,0.0011776588287898278,0.0016833071822664237,0.0005148573785580875,0.0005108670186515194,0.0011119003058599074,0.001525561166594944,0.00028408873674261,0.00031518981944730906,0.0013237261462469632,0.001986259164315323,-0.07816016496438848,1.76e-05,56737599.220800005,43014111.56349998
LDO/USDT,0.000783214385452013,0.0013718459698941763,0.0006694392589872446,0.0006554527168445165,0.0008840704272498231,0.0014634586635069418,0.0003662911072186759,0.00043940308598979373,0.0012109022696442685,0.0017306225037721705,-0.09679258785671523,1.25e-05,14802326.588860001,44134784.57329
SUSHI/USDT,0.0009347592376230703,0.0018406481231113899,0.0005258865991376077,0.0005275590946123586,0.000766665175366963,0.001673739058436285,0.0002800006855078393,0.00038468870083820214,0.0006947890648747778,0.001436473927749799,-0.11133006375506574,1.25e-05,815290.64316,1848208.35258
AR/USDT,0.0011372713083653734,0.00219376779137365,0.00044421162093599107,0.00042884944047639833,0.0011789789806606191,0.002165092909980131,0.0003399279810828609,0.000398916148219521,0.0017647031205811007,0.002354015317530917,-0.144698018181964,1.25e-05,2056035.9977600002,4421036.93561
BLUR/USDT,5.330300081292777e-05,0.0008431316010435647,0.0005574618138611077,0.0005297114075718103,-0.00011094498815167939,0.0007462949358955307,0.0005021597875840353,0.0004444006855085456,2.624118913088846e-05,0.0012337972080512882,-0.17937890493148803,1.25e-05,2003740.0095,3690527.10483
