coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
BNT/USDT,0.00010270491418223777,0.0025605433642931974,0.0009670135006499248,0.0008659394439517259,0.0004962671954852548,0.0028600516656889004,0.0004875382617550051,0.0005462898421197419,0.00043121160514540295,0.002404313572759826,0.2565185809918374,1.25e-05,491340.6156,147343.44268
CHILLGUY/USDT,,,0.0013263977970752227,0.0010932558234327322,0.0014459508849286363,0.002343502936127247,0.0008433341185905902,0.0008773852587771746,0.0005504713145964002,0.0011747763895604254,0.24981712393508787,1.25e-05,6747122.470199999,13853767.62314001
ETH/USDT,0.0008650361209019202,0.000899659533091074,0.0005112548560042462,0.0005133964518461656,0.0004919944392524349,0.0005268701429382493,0.00025321512726176416,0.00025147784159812724,0.00038197269315558345,0.000409761601442296,0.23102420271073865,1.25e-05,859455262.8382,2690060223.466861
EIGEN/USDT,0.0006239399610604545,0.0012728808615276466,0.0005993370828550007,0.0006337837675463856,0.0003151120365154684,0.0009149661383131468,0.0005085216437598689,0.0005295320088442992,0.00028551332371452056,0.0009183689039579951,0.1841293993371179,4.151e-05,27026860.947722003,16067031.368781
UNI/USDT,0.0008037411950489582,0.0014373154700329368,0.0006253309488485555,0.0006135525262069285,0.0009182964522641775,0.0015725519532283098,0.0008299791887032791,0.0008213017245094084,0.0010656991193315336,0.0017045941540083575,0.16448940922754018,1.25e-05,7808656.3918,16964440.40150001
ZRO/USDT,0.0006755244436546619,0.0012148558872557553,0.0007909467814732692,0.0008156936518399649,0.0006556220938046364,0.001076922683112643,0.000266838030950979,0.0003178014269691463,0.0008894269474465736,0.0014876683951797664,0.10222151948928881,1.25e-05,8367003.46044,12192107.07641
OP/USDT,-1.0026790383169172e-05,0.0004109149548922654,0.00043291570124524376,0.00043467781364982683,0.00016724912982493524,0.0005604969509855427,0.0003383894753493302,0.00030316829591926244,3.95802177483386e-05,0.0005536854144535343,0.06763772661034478,4.879e-05,14406683.575019998,18673499.85728
RENDER/USDT,0.0011514493461331962,0.0016160921507302787,0.0004677609370192901,0.00041561695501372175,0.0010013292074743543,0.0014380927809065013,0.0003481978566867514,0.00028868931756044453,0.001306330745006844,0.0015352885482204045,0.044884666861261184,1.25e-05,5468010.95424,3207968.40086
BLUR/USDT,5.1164453221591414e-05,0.0008440394926237471,0.0005710599498384684,0.0005495710249746482,4.450268624666061e-05,0.0009066460414456249,0.0006032226234817593,0.0005422807473012662,0.0011385748877917104,0.0018014077928802956,0.009094672702971362,1.25e-05,2008266.10204,3789813.47459
INJ/USDT,0.0003483537917071055,0.0008800486740196876,0.0004133310018001416,0.00042378537458339234,0.0006563570915347915,0.0012127414872484938,0.00017211807871855386,0.0001359503537555196,0.0008196786566454037,0.0011764155926371296,-0.01006896244456163,1.25e-05,3387889.5920000006,9924848.2227
